lon,lat,owner,watershed,type,form
-71.13462427660,42.42598897140,CITY-ROW,IN-208,STORM WATER INLET,
-71.13472580860,42.42588668230,CITY-ROW,IN-209,STORM WATER INLET,
-71.13481603880,42.42581726950,CITY-ROW,IN-210,STORM WATER INLET,
-71.13500896010,42.42587032570,CITY-ROW,IN-211,STORM WATER INLET,
-71.13352955530,42.42686448490,CITY-ROW,IN-212,STORM WATER INLET,
-71.13376973750,42.42681395790,CITY-ROW,IN-213,STORM WATER INLET,
-71.13452608790,42.42665235600,CITY-ROW,IN-214,STORM WATER INLET,
-71.13078956340,42.43149474740,CITY-ROW,IN-215,STORM WATER INLET,
-71.13082555570,42.43163940600,CITY-ROW,IN-216,STORM WATER INLET,
-71.13107335040,42.43216892240,CITY-ROW,IN-217,STORM WATER INLET,
-71.13058439360,42.43113915460,CITY-ROW,IN-218,STORM WATER INLET,
-71.13011675470,42.43046089550,CITY-ROW,IN-219,STORM WATER INLET,
-71.13013977380,42.43039139920,CITY-ROW,IN-220,STORM WATER INLET,
-71.13086540770,42.42654063460,CITY-ROW,IN-221,STORM WATER INLET,
-71.12202143610,42.42592859740,CITY-ROW,IN-222,STORM WATER INLET,
-71.12198684710,42.42604199750,CITY-ROW,IN-223,STORM WATER INLET,
-71.12054866410,42.42674886220,CITY-ROW,IN-224,STORM WATER INLET,
-71.12044207170,42.42663430850,CITY-ROW,IN-225,STORM WATER INLET,
-71.12029390830,42.42670985610,CITY-ROW,IN-226,STORM WATER INLET,
-71.12037845110,42.42604621130,CITY-ROW,IN-227,STORM WATER INLET,
-71.12012248810,42.42597665010,CITY-ROW,IN-228,STORM WATER INLET,
-71.12013272890,42.42607278450,CITY-ROW,IN-229,STORM WATER INLET,
-71.12020104180,42.42537232440,CITY-ROW,IN-230,STORM WATER INLET,
-71.12019437690,42.42530757900,CITY-ROW,IN-231,STORM WATER INLET,
-71.11994296230,42.42533431480,CITY-ROW,IN-232,STORM WATER INLET,
-71.12004517700,42.42545512320,CITY-ROW,IN-233,STORM WATER INLET,
-71.12109978140,42.42484537760,CITY-ROW,IN-234,STORM WATER INLET,
-71.12112453790,42.42474157650,CITY-ROW,IN-235,STORM WATER INLET,
-71.12149749420,42.42549845760,CITY-ROW,IN-236,STORM WATER INLET,
-71.12161855130,42.42528455720,CITY-ROW,IN-237,STORM WATER INLET,
-71.11764514950,42.42568789350,CITY-ROW,IN-238,STORM WATER INLET,
-71.11754639290,42.42568969290,CITY-ROW,IN-239,STORM WATER INLET,
-71.11738083570,42.42505253860,CITY-ROW,IN-240,STORM WATER INLET,
-71.11808500400,42.42737015380,CITY-ROW,IN-241,STORM WATER INLET,
-71.11781651030,42.42637319970,CITY-ROW,IN-242,STORM WATER INLET,
-71.11771947030,42.42637629760,CITY-ROW,IN-243,STORM WATER INLET,
-71.11802549860,42.42754295470,CITY-ROW,IN-244,STORM WATER INLET,
-71.11804365820,42.42753879890,CITY-ROW,IN-245,STORM WATER INLET,
-71.11788173260,42.42750459590,CITY-ROW,IN-246,STORM WATER INLET,
-71.11762425500,42.42760971310,CITY-ROW,IN-247,STORM WATER INLET,
-71.11711173810,42.42747985330,CITY-ROW,IN-248,STORM WATER INLET,
-71.11711338920,42.42732909630,CITY-ROW,IN-249,STORM WATER INLET,
-71.11702355660,42.42730126990,CITY-ROW,IN-250,STORM WATER INLET,
-71.11528089160,42.42567263780,CITY-ROW,IN-251,STORM WATER INLET,
-71.11635997390,42.42511296270,CITY-ROW,IN-252,STORM WATER INLET,
-71.11930547250,42.42735029360,CITY-ROW,IN-253,STORM WATER INLET,
-71.11868416550,42.42627024680,CITY-ROW,IN-254,STORM WATER INLET,
-71.11864917420,42.42612893560,CITY-ROW,IN-255,STORM WATER INLET,
-71.11883809100,42.42620638150,CITY-ROW,IN-256,STORM WATER INLET,
-71.11950323650,42.42679086850,CITY-ROW,IN-257,STORM WATER INLET,
-71.11951622330,42.42685542950,CITY-ROW,IN-258,STORM WATER INLET,
-71.11942968320,42.42545093860,CITY-ROW,IN-259,STORM WATER INLET,
-71.11939546180,42.42538799630,CITY-ROW,IN-260,STORM WATER INLET,
-71.11882631930,42.42544794870,CITY-ROW,IN-261,STORM WATER INLET,
-71.11883055750,42.42551246820,CITY-ROW,IN-262,STORM WATER INLET,
-71.12277871180,42.42541155050,CITY-ROW,IN-263,STORM WATER INLET,
-71.12285500750,42.42544668880,CITY-ROW,IN-264,STORM WATER INLET,
-71.11331612790,42.42967954310,CITY-ROW,IN-265,STORM WATER INLET,
-71.11342477980,42.42966555490,CITY-ROW,IN-266,STORM WATER INLET,
-71.11291142850,42.42944164640,CITY-ROW,IN-267,STORM WATER INLET,
-71.11264732720,42.42926072790,CITY-ROW,IN-268,STORM WATER INLET,
-71.11229606490,42.42884191350,CITY-ROW,IN-269,STORM WATER INLET,
-71.11232716500,42.42890411640,CITY-ROW,IN-270,STORM WATER INLET,
-71.11247090190,42.42875776390,CITY-ROW,IN-271,STORM WATER INLET,
-71.11236487010,42.42876325150,CITY-ROW,IN-272,STORM WATER INLET,
-71.11142125830,42.42933553700,CITY-ROW,IN-273,STORM WATER INLET,
-71.11133344760,42.42932269710,CITY-ROW,IN-274,STORM WATER INLET,
-71.11124456980,42.42935491760,CITY-ROW,IN-275,STORM WATER INLET,
-71.11148476370,42.42939709140,CITY-ROW,IN-276,STORM WATER INLET,
-71.11140136960,42.42946933690,CITY-ROW,IN-277,STORM WATER INLET,
-71.12324892540,42.42553253760,CITY-ROW,IN-278,STORM WATER INLET,
-71.12000487820,42.42448723390,CITY-ROW,IN-279,STORM WATER INLET,
-71.11970927070,42.42455576260,CITY-ROW,IN-280,STORM WATER INLET,
-71.11821435300,42.42484705350,CITY-ROW,IN-281,STORM WATER INLET,
-71.11861649940,42.42466836410,CITY-ROW,IN-282,STORM WATER INLET,
-71.11812653510,42.42475295200,CITY-ROW,IN-283,STORM WATER INLET,
-71.12556940240,42.42005715070,CITY-ROW,IN-284,STORM WATER INLET,
-71.12601390890,42.42010268930,CITY-ROW,IN-285,STORM WATER INLET,
-71.11212430540,42.42844483040,CITY-ROW,IN-286,STORM WATER INLET,
-71.11212294130,42.42855935140,CITY-ROW,IN-287,STORM WATER INLET,
-71.12294630010,42.42546158570,CITY-ROW,IN-288,STORM WATER INLET,
-71.12422116820,42.42636613960,CITY-ROW,IN-289,STORM WATER INLET,
-71.12486242770,42.42681949170,CITY-ROW,IN-290,STORM WATER INLET,
-71.12591058550,42.42751594660,CITY-ROW,IN-291,STORM WATER INLET,
-71.12495226320,42.42674675790,CITY-ROW,IN-292,STORM WATER INLET,
-71.12431218290,42.42629008260,CITY-ROW,IN-293,STORM WATER INLET,
-71.12113359290,42.42405939780,CITY-ROW,IN-294,STORM WATER INLET,
-71.12171982330,42.42452971990,CITY-ROW,IN-295,STORM WATER INLET,
-71.11022434740,42.43136879420,CITY-ROW,IN-296,STORM WATER INLET,
-71.11003681660,42.42979154580,CITY-ROW,IN-297,STORM WATER INLET,
-71.11019918550,42.42676553080,CITY-ROW,IN-298,STORM WATER INLET,
-71.11025078090,42.42676143450,CITY-ROW,IN-299,STORM WATER INLET,
-71.11012319080,42.42673409160,CITY-ROW,IN-300,STORM WATER INLET,
-71.12096819340,42.42404683840,CITY-ROW,IN-301,STORM WATER INLET,
-71.12086491160,42.42395713080,CITY-ROW,IN-302,STORM WATER INLET,
-71.11664441150,42.42496678740,CITY-ROW,IN-303,STORM WATER INLET,
-71.11634300240,42.42501040360,CITY-ROW,IN-304,STORM WATER INLET,
-71.11576523920,42.42509426840,CITY-ROW,IN-305,STORM WATER INLET,
-71.13172926990,42.42407071420,CITY-ROW,IN-306,STORM WATER INLET,
-71.13039057460,42.42592903500,CITY-ROW,IN-307,STORM WATER INLET,
-71.13042724670,42.42598710600,CITY-ROW,IN-308,STORM WATER INLET,
-71.11546413050,42.42513743410,CITY-ROW,IN-309,STORM WATER INLET,
-71.11548575000,42.42524078930,CITY-ROW,IN-310,STORM WATER INLET,
-71.11635833790,42.42511403390,CITY-ROW,IN-311,STORM WATER INLET,
-71.11431663720,42.42187671900,CITY-ROW,IN-312,STORM WATER INLET,
-71.11412124120,42.42182920050,CITY-ROW,IN-313,STORM WATER INLET,
-71.11430384130,42.42158561380,CITY-ROW,IN-314,STORM WATER INLET,
-71.11421952350,42.42161492060,CITY-ROW,IN-315,STORM WATER INLET,
-71.11445423150,42.42128827520,CITY-ROW,IN-316,STORM WATER INLET,
-71.11460529610,42.42079404680,CITY-ROW,IN-317,STORM WATER INLET,
-71.11464733570,42.42085913070,CITY-ROW,IN-318,STORM WATER INLET,
-71.11476505070,42.42068714810,CITY-ROW,IN-319,STORM WATER INLET,
-71.11496295380,42.42032385350,CITY-ROW,IN-320,STORM WATER INLET,
-71.11506717350,42.42031569260,CITY-ROW,IN-321,STORM WATER INLET,
-71.11397949690,42.42173312060,CITY-ROW,IN-322,STORM WATER INLET,
-71.11565281760,42.42205187170,CITY-ROW,IN-323,STORM WATER INLET,
-71.11549950580,42.42184525360,CITY-ROW,IN-324,STORM WATER INLET,
-71.11545727680,42.42206824110,CITY-ROW,IN-325,STORM WATER INLET,
-71.11978409490,42.42390397210,CITY-ROW,IN-326,STORM WATER INLET,
-71.12974049120,42.42642003910,CITY-ROW,IN-327,STORM WATER INLET,
-71.12979572440,42.42645848190,CITY-ROW,IN-328,STORM WATER INLET,
-71.12932229750,42.42662120440,CITY-ROW,IN-329,STORM WATER INLET,
-71.12932366320,42.42677204140,CITY-ROW,IN-330,STORM WATER INLET,
-71.12945670250,42.42657156930,CITY-ROW,IN-331,STORM WATER INLET,
-71.12892202530,42.42609144590,CITY-ROW,IN-332,STORM WATER INLET,
-71.12880444580,42.42594299260,CITY-ROW,IN-425,STORM WATER INLET,
